iter	RMSE
0	7353.49689
1	7270.370631
2	7188.970886
3	7105.870721
4	7027.750259
5	6961.186593
6	6887.66911
7	6836.696703
8	6802.453108
9	6765.241786
10	6711.625136
11	6655.480127
12	6602.807311
13	6563.756275
14	6524.00719
15	6475.793657
16	6439.757731
17	6408.107963
18	6381.699271
19	6348.386235
20	6314.079811
21	6283.621121
22	6255.422015
23	6221.746767
24	6195.288511
25	6171.312142
26	6140.709798
27	6114.764824
28	6086.554758
29	6065.297019
30	6045.408922
31	6025.700382
32	6000.391009
33	5982.211414
34	5965.165477
35	5946.969638
36	5928.430921
37	5901.820948
38	5884.159706
39	5866.845319
40	5851.190902
41	5837.619435
42	5819.937484
43	5805.775627
44	5793.26115
45	5783.608434
46	5765.982332
47	5752.335387
48	5743.431522
49	5733.062367
50	5718.153085
51	5704.647672
52	5691.355394
53	5677.494475
54	5666.331131
55	5659.184387
56	5650.624445
57	5640.614732
58	5633.336608
59	5623.179564
60	5611.774769
61	5602.797452
62	5593.541751
63	5583.594895
64	5577.637375
65	5565.440591
66	5557.832868
67	5547.496694
68	5531.819437
69	5525.519765
70	5516.577735
71	5506.409948
72	5499.451175
73	5493.201074
74	5485.069278
75	5475.358098
76	5466.88162
77	5455.351308
78	5451.98824
79	5442.673584
80	5434.930817
81	5428.944418
82	5419.177655
83	5410.929941
84	5400.312733
85	5393.713202
86	5386.037448
87	5375.97426
88	5370.396838
89	5363.458527
90	5358.426022
91	5353.328708
92	5344.744186
93	5338.768892
94	5332.989383
95	5326.600735
96	5321.328794
97	5318.544384
98	5311.429016
99	5307.539765
100	5303.449499
101	5295.652751
102	5289.640896
103	5285.580781
104	5282.031457
105	5271.409877
106	5266.047116
107	5265.060684
108	5254.225198
109	5248.208575
110	5243.318594
111	5236.665812
112	5231.520094
113	5226.520895
114	5221.355557
115	5217.025177
116	5211.438006
117	5208.131465
118	5205.878572
119	5200.228158
120	5190.616845
121	5188.742686
122	5184.391312
123	5180.56643
124	5172.1956
125	5167.200638
126	5160.445225
127	5155.310423
128	5151.50731
129	5146.642006
130	5142.859792
131	5141.2399
132	5140.020181
133	5134.362822
134	5129.875391
135	5126.355073
136	5122.900981
137	5119.394029
138	5114.167119
139	5109.338107
140	5105.011515
141	5095.570785
142	5093.861712
143	5089.18984
144	5085.521754
145	5080.155327
146	5076.123952
147	5073.85397
148	5067.303632
149	5063.292851
150	5057.452952
151	5053.816263
152	5049.323151
153	5045.734984
154	5041.928122
155	5040.307711
156	5037.309682
157	5034.065905
158	5032.309747
159	5028.661922
160	5025.94493
161	5021.613862
162	5019.989299
163	5016.003836
164	5009.409124
165	5004.709233
166	4999.081962
167	4997.243079
168	4995.502887
169	4989.566817
170	4985.197592
171	4984.102045
172	4978.6868
173	4974.329426
174	4972.558641
175	4970.707388
176	4965.647864
177	4961.407429
178	4959.832951
179	4955.512463
180	4952.972926
181	4950.871849
182	4946.05156
183	4941.931327
184	4940.537368
185	4936.747037
186	4930.602152
187	4928.298791
188	4926.505535
189	4925.098254
190	4922.881495
191	4921.658662
192	4917.561854
193	4912.965561
194	4907.665318
195	4903.358383
196	4901.776979
197	4899.294109
198	4898.249366
199	4894.006835
200	4889.162859
201	4887.707815
202	4882.180599
203	4880.505117
204	4876.848507
205	4875.268844
206	4870.525175
207	4865.83002
208	4861.115293
209	4857.218589
210	4854.301146
211	4853.268697
212	4851.089077
213	4847.293834
214	4843.031408
215	4841.651975
216	4834.282985
217	4829.19264
218	4827.969775
219	4823.696587
220	4822.64827
221	4820.409575
222	4816.494642
223	4812.919622
224	4809.402633
225	4806.906675
226	4802.698114
227	4799.060566
228	4795.186577
229	4794.163291
230	4789.802861
231	4786.096852
232	4782.778193
233	4779.041631
234	4777.553309
235	4774.330839
236	4773.342796
237	4769.716856
238	4767.365007
239	4762.77917
240	4761.798917
241	4759.676413
242	4755.947865
243	4753.661502
244	4749.42193
245	4747.819524
246	4744.27794
247	4739.676848
248	4735.249234
249	4734.293699
250	4730.930318
251	4726.644128
252	4725.71051
253	4724.26393
254	4721.365391
255	4717.628374
256	4715.755106
257	4712.034242
258	4711.128536
259	4707.713936
260	4704.610786
261	4702.447878
262	4698.303329
263	4696.836108
264	4693.261024
265	4690.20415
266	4687.138012
267	4682.881625
268	4681.317764
269	4677.287856
270	4673.03952
271	4669.210227
272	4667.006363
273	4662.870415
274	4661.977615
275	4658.456029
276	4653.894901
277	4651.12197
278	4646.706077
279	4645.82995
280	4642.739039
281	4641.000228
282	4638.713992
283	4635.878785
284	4632.917129
285	4629.739553
286	4626.285754
287	4625.427578
288	4622.101644
289	4620.740638
290	4617.280663
291	4614.859875
292	4614.017499
293	4612.38534
294	4609.861271
295	4607.534533
296	4605.077551
297	4601.411541
298	4600.585162
299	4598.620342
300	4595.348422
301	4594.058315
302	4590.892703
303	4587.982008
304	4585.802856
305	4584.977904
306	4582.535245
307	4579.904728
308	4579.100442
309	4576.579303
310	4575.283226
311	4573.309743
312	4571.815211
313	4569.171027
314	4567.535986
315	4566.747309
316	4563.883819
317	4560.909649
318	4559.19582
319	4556.474785
320	4554.935172
321	4553.455062
322	4550.871298
323	4550.090544
324	4548.004509
325	4543.099657
326	4541.841134
327	4541.076498
328	4539.914077
329	4537.220816
330	4534.580328
331	4531.099079
332	4528.056257
333	4523.366253
334	4519.862211
335	4517.138726
336	4516.38137
337	4514.799996
338	4513.576076
339	4510.693427
340	4509.493688
341	4508.130329
342	4506.988071
343	4504.282062
344	4502.96163
345	4500.382752
346	4498.805065
347	4497.73383
348	4496.459872
349	4495.713677
350	4493.597508
351	4489.397724
352	4487.752664
353	4485.878039
354	4483.110762
355	4480.556031
356	4479.820685
357	4476.037463
358	4472.970084
359	4471.896648
360	4471.174522
361	4467.675116
362	4464.669692
363	4460.834349
364	4458.49493
365	4456.311532
366	4455.599692
367	4453.392587
368	4451.951007
369	4449.366503
370	4448.247705
371	4444.896588
372	4444.201085
373	4443.537358
374	4441.362948
375	4438.180896
376	4437.506682
377	4434.904229
378	4433.605621
379	4432.937241
380	4431.319155
381	4430.206372
382	4427.051729
383	4425.503047
384	4423.820601
385	4422.856687
386	4422.190167
387	4419.490424
388	4416.639776
389	4414.570266
390	4412.293472
391	4411.272319
392	4408.410435
393	4406.354005
394	4405.730837
395	4403.081376
396	4401.006028
397	4399.837225
398	4398.033037
399	4397.032469
400	4394.150032
401	4393.547513
402	4392.910419
403	4390.275454
404	4389.155207
405	4385.770379
406	4384.842264
407	4381.106209
408	4379.99533
409	4378.371496
410	4377.460511
411	4374.690203
412	4373.687424
413	4373.062755
414	4370.900195
415	4366.774728
416	4365.642397
417	4363.401994
418	4362.376291
419	4361.80759
420	4359.617657
421	4356.800596
422	4355.494814
423	4353.259961
424	4350.961499
425	4349.514591
426	4348.058054
427	4346.951858
428	4344.186627
429	4341.447813
430	4340.854546
431	4337.369512
432	4336.106511
433	4333.60594
434	4330.876837
435	4329.332695
436	4328.717747
437	4328.150066
438	4326.073338
439	4324.688093
440	4322.532206
441	4321.121584
442	4320.186376
443	4318.403105
444	4315.965987
445	4312.805809
446	4309.8674
447	4309.302653
448	4307.512839
449	4306.984262
450	4305.34071
451	4304.263524
452	4301.871566
453	4300.798204
454	4299.950297
455	4299.347573
456	4298.80957
457	4296.867495
458	4294.720315
459	4293.387101
460	4289.961503
461	4288.638889
462	4286.892327
463	4285.002111
464	4284.409896
465	4282.195949
466	4281.379711
467	4279.065309
468	4278.458344
469	4277.523977
470	4276.986354
471	4276.388162
472	4275.187451
473	4274.438452
474	4272.016184
475	4271.465121
476	4270.836705
477	4268.784604
478	4267.939854
479	4267.371454
480	4266.395316
481	4265.282733
482	4264.708526
483	4264.149544
484	4262.60486
485	4261.782606
486	4261.253569
487	4260.681031
488	4260.145675
489	4259.253033
490	4258.721103
491	4258.206044
492	4257.141379
493	4256.628526
494	4255.850035
495	4253.186132
496	4252.716488
497	4250.906585
498	4249.817891
499	4248.266877
500	4247.405739
501	4244.840597
502	4243.847757
503	4243.312996
504	4241.137136
505	4240.677372
506	4239.890161
507	4237.1149
508	4236.658996
509	4235.840376
510	4234.700965
511	4234.189594
512	4232.966093
513	4232.489203
514	4230.875406
515	4227.654386
516	4227.155035
517	4224.857729
518	4222.265723
519	4221.859466
520	4219.342714
521	4218.881141
522	4218.208017
523	4216.885978
524	4216.078899
525	4214.120243
526	4212.752206
527	4211.290828
528	4209.83565
529	4208.029146
530	4205.787888
531	4203.489227
532	4202.977673
533	4202.506765
534	4201.451903
535	4200.9997
536	4200.54979
537	4199.591869
538	4197.762027
539	4195.907772
540	4194.950474
541	4193.931391
542	4192.564706
543	4190.725399
544	4187.794864
545	4185.496121
546	4182.659459
547	4181.915144
548	4180.894006
549	4179.420585
550	4178.453851
551	4176.815695
552	4174.849643
553	4172.732541
554	4170.457296
555	4169.073374
556	4167.653125
557	4166.390642
558	4164.571101
559	4164.077991
560	4163.632674
561	4161.274503
562	4159.477688
563	4158.521706
564	4157.399647
565	4156.605717
566	4155.968432
567	4154.598059
568	4153.206032
569	4151.250999
570	4149.029677
571	4146.855522
572	4146.381369
573	4145.644723
574	4143.86184
575	4141.95257
576	4141.125752
577	4138.902189
578	4137.083506
579	4136.3323
580	4135.684766
581	4134.85905
582	4133.650023
583	4131.555778
584	4129.503791
585	4128.541999
586	4124.781539
587	4123.815434
588	4122.559235
589	4122.087855
590	4120.669465
591	4120.195781
592	4118.224217
593	4116.990373
594	4115.292801
595	4114.853635
596	4113.428452
597	4111.534766
598	4110.641949
599	4109.982048
600	4109.558258
601	4107.510322
602	4106.423666
603	4104.349283
604	4103.886723
605	4103.45988
606	4100.521731
607	4099.105269
608	4098.035822
609	4097.35438
610	4096.09507
611	4093.997221
612	4092.021993
613	4090.404027
614	4089.682922
615	4088.985313
616	4088.506423
617	4085.815961
618	4083.956655
619	4083.145087
620	4082.046956
621	4081.234828
622	4080.771168
623	4079.472626
624	4078.766487
625	4076.346256
626	4075.604448
627	4074.840651
628	4074.00957
629	4072.209615
630	4071.783782
631	4070.8669
632	4070.289795
633	4068.681162
634	4066.980597
635	4066.340736
636	4064.558846
637	4063.061702
638	4062.58772
639	4061.003776
640	4060.494475
641	4059.99324
642	4058.334143
643	4057.453259
644	4056.602731
645	4056.175656
646	4055.710813
647	4053.980363
648	4053.540674
649	4053.010968
650	4052.113689
651	4051.664624
652	4051.190805
653	4050.138264
654	4049.414853
655	4049.049841
656	4048.61388
657	4048.1499
658	4047.628529
659	4045.49626
660	4044.071281
661	4042.842506
662	4042.464956
663	4042.043423
664	4041.562301
665	4041.152927
666	4040.468353
667	4038.200071
668	4037.211388
669	4036.813104
670	4036.354615
671	4035.901407
672	4035.459859
673	4034.868471
674	4034.433197
675	4034.086939
676	4033.47535
677	4031.178427
678	4030.51612
679	4029.711157
680	4028.245257
681	4026.488126
682	4026.048412
683	4025.00252
684	4024.131744
685	4023.790624
686	4022.532968
687	4020.719336
688	4020.287041
689	4019.862138
690	4018.538885
691	4015.740316
692	4015.101681
693	4013.170244
694	4012.483666
695	4011.251281
696	4009.727948
697	4007.40019
698	4007.043169
699	4004.611924
700	4003.860593
701	4001.735933
702	4000.139364
703	3999.396638
704	3997.430863
705	3997.03417
706	3994.011801
707	3993.356474
708	3992.120776
709	3991.535895
710	3991.120058
711	3989.995524
712	3988.912085
713	3986.220763
714	3985.302794
715	3984.708772
716	3983.498046
717	3982.831732
718	3982.230014
719	3981.843502
720	3980.537782
721	3980.157318
722	3978.880541
723	3978.074502
724	3977.461786
725	3976.657013
726	3976.134101
727	3974.878677
728	3973.515094
729	3972.45595
730	3970.038841
731	3969.412932
732	3968.136806
733	3967.790633
734	3966.681089
735	3966.28673
736	3964.133679
737	3963.42154
738	3962.323206
739	3960.753257
740	3959.953226
741	3958.270538
742	3957.177185
743	3956.01486
744	3955.455484
745	3954.908708
746	3954.325671
747	3953.90226
748	3952.823925
749	3951.211914
750	3950.837871
751	3949.733524
