City,Town,Neighborhood,House Type,House Age,House Size,Room Count,Floor,Furniture,Bathroom Count,Hand,Heater Type,Heater Fuel,Price
Ankara,Mamak,Akşemsettin,Daire,3,125.0,3 + 1,Ara Kat,True,2.0,İkinci El,Kombi,Doğalgaz,16000
Adana,Seyhan,Yeşilyurt,Daire,5,140.0,3 + 1,13. Kat,False,2.0,İkinci El,Kombi,Doğalgaz,15500
İstanbul,Beşiktaş,Nisbetiye,Residence,0,360.0,4 + 1,21 ve üzeri,False,3.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,350000
İstanbul,Beşiktaş,Nisbetiye,Residence,0,350.0,4 + 1,Ara Kat,False,4.0,Sıfır,Merkezi (Pay Ölçer),Doğalgaz,350000
İstanbul,Şişli,Fulya,Daire,15,90.0,1 + 1,5. Kat,True,1.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,60000
İstanbul,Beşiktaş,Levazım,Residence,10,175.0,2 + 1,10. Kat,False,2.0,İkinci El,VRV,Doğalgaz,255000
Muğla,Bodrum,Dirmil,Villa,10,850.0,4 + 1,Müstakil,True,4.0,İkinci El,Klima,Elektrik,1000000
İstanbul,Şişli,Fulya,Daire,21,80.0,1 + 1,4. Kat,True,1.0,İkinci El,Kombi,Doğalgaz,35000
Antalya,Alanya,Mahmutlar,Daire,1,260.0,5 + 1,En Üst Kat,False,3.0,İkinci El,Klima,Elektrik,25000
İstanbul,Beşiktaş,Etiler,Villa,27,500.0,5 + 1,Müstakil,True,4.0,,Kombi,Doğalgaz,500000
İstanbul,Bahçelievler,Yenibosna Merkez,Daire,25,90.0,2 + 1,5. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,15000
İzmir,Seferihisar,Hıdırlık,Müstakil Ev,11,350.0,4 + 1,Bahçe Katı,False,3.0,,Kombi,Doğalgaz,37000
İstanbul,Şişli,Bozkurt,Daire,22,185.0,3 + 1,4. Kat,False,2.0,İkinci El,Kombi,Doğalgaz,40000
İzmir,Çeşme,Yalı,Villa,5,250.0,2 + 1,Bahçe Katı,True,2.0,,Klima,Elektrik,270000
İzmir,Çeşme,Dalyan,Daire,1,65.0,1 + 1,Yüksek Giriş,True,1.0,,Klima,Elektrik,22000
Antalya,Serik,Kadriye,Villa,2,300.0,3 + 1,Müstakil,True,4.0,Sıfır,Klima,Elektrik,40000
Ankara,Etimesgut,Tunahan,Daire,4,130.0,3 + 1,21 ve üzeri,False,2.0,İkinci El,Merkezi (Pay Ölçer),Doğalgaz,35000
Muğla,Ortaca,Karaburun,Daire,0,150.0,3 + 1,3. Kat,False,2.0,Sıfır,Merkezi,Elektrik,20000
İstanbul,Kadıköy,Caddebostan,Daire,5,180.0,4 + 1,Yüksek Giriş,False,3.0,İkinci El,Kombi,Doğalgaz,165000
İstanbul,Sarıyer,Maslak,Daire,4,165.0,2 + 1,3. Kat,True,3.0,,Merkezi,Doğalgaz,75000
Ankara,Çankaya,Şehit Cevdet Özdemir,Daire,25,130.0,3 + 1,4. Kat,False,1.0,İkinci El,Kombi,Doğalgaz,16500
İstanbul,Beşiktaş,Dikilitaş,Residence,15,286.0,3 + 1,5. Kat,False,3.0,İkinci El,Kombi,Doğalgaz,120000
